mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-09-10 12:38:35.079024128,79.47,25.02,1679.0,45.0,1332.0,46.0,1022.0,44.4,30,S,2B,3413
2019-05-28 12:22:50.079024128,79.47,25.02,1894.0,38.0,1513.0,34.9,1140.0,42.1,99,S,2B,3413
2020-12-03 12:18:44.079021824,79.47,25.02,1583.0,6.0,1293.0,6.4,913.0,6.4,440,S,2A,3413
2018-02-23 01:17:31.579023872,79.47,25.02,2155.0,2.0,1767.0,1.9,1234.0,1.9,364,S,2B,3413
2017-07-13 12:36:57.079024128,79.47,25.02,2248.0,94.0,1858.0,88.6,1266.0,103.7,20,S,2B,3413
2017-11-05 12:36:59.579023616,79.47,25.02,2191.0,5.0,1797.0,5.2,1253.0,5.2,339,S,2A,3413
2017-06-27 15:03:44.986988032,79.47,25.02,2138.0,52.0,1725.0,61.8,1262.0,23.7,12,S,1B,3413
2018-09-04 11:56:47.579022336,79.47,25.02,2290.0,16.0,1818.0,10.7,1393.0,21.7,20,S,2B,3413
2020-08-10 00:08:46.579022080,79.47,25.02,2168.0,40.0,1763.0,40.3,1261.0,39.5,45,S,2B,3413
2021-01-15 13:18:32.579022080,79.47,25.02,1642.0,4.0,1352.0,4.1,931.0,4.2,409,S,2A,3413
2017-11-23 11:56:40.579023616,79.47,25.02,2220.0,11.0,1821.0,10.6,1270.0,10.8,269,S,2B,3413
2017-01-21 12:26:52.079024128,79.47,25.02,2390.0,7.0,1949.0,6.6,1383.0,7.1,270,S,2A,3413
2021-02-01 00:08:40.079024128,79.47,25.02,1535.0,6.0,1249.0,6.3,892.0,6.8,304,S,2A,3413
2019-07-03 01:18:34.579022080,79.47,25.02,1990.0,113.0,1609.0,108.4,1172.0,122.0,25,S,2A,3413
2019-01-14 00:27:44.579023872,79.47,25.02,2068.0,4.0,1701.0,3.5,1177.0,3.7,365,S,2B,3413
2020-10-12 13:18:24.579022080,79.47,25.02,1628.0,4.0,1335.0,4.5,932.0,3.5,389,S,2B,3413
2020-09-23 11:58:37.579023616,79.47,25.02,1623.0,5.0,1331.0,4.9,929.0,3.6,360,S,2B,3413
2020-05-12 13:08:27.079023872,79.47,25.02,1472.0,53.0,1146.0,57.9,925.0,45.8,60,S,2A,3413
2017-02-12 15:04:00.972272128,79.47,25.02,2379.0,77.0,1945.0,90.3,1371.0,36.2,6,S,1B,3413
2017-06-16 11:56:44.579023616,79.47,25.02,2203.0,32.0,1799.0,31.2,1271.0,32.6,79,S,2A,3413
2020-11-21 12:28:33.579023872,79.47,25.02,1592.0,6.0,1307.0,6.0,909.0,6.5,470,S,2A,3413
2019-08-02 01:18:34.079022336,79.47,25.02,2395.0,84.0,1953.0,86.4,1387.0,80.0,14,S,2B,3413
2017-11-15 00:26:49.579023872,79.47,25.02,2213.0,11.0,1821.0,10.9,1257.0,11.6,284,S,2A,3413
2019-05-07 12:05:06.079022080,79.47,25.02,1905.0,28.0,1538.0,28.6,1123.0,27.9,39,S,2A,3413
2022-03-30 00:48:35.079021824,79.47,25.02,1133.0,198.0,926.0,199.4,652.0,194.0,4,S,2A,3413
2017-08-31 12:16:43.579023872,79.47,25.02,2378.0,75.0,1954.0,72.5,1355.0,78.9,9,S,2B,3413
2018-09-07 00:47:30.079022080,79.47,25.02,2184.0,57.0,1798.0,60.5,1239.0,50.5,25,S,2A,3413
2021-08-13 01:08:26.079024128,79.47,25.02,1873.0,41.0,1515.0,39.6,1101.0,43.3,44,S,2B,3413
2017-12-16 00:47:01.579022080,79.47,25.02,2171.0,34.0,1774.0,33.8,1252.0,33.8,274,S,2A,3413
2019-06-12 00:58:34.079024384,79.47,25.02,1914.0,143.0,1534.0,143.2,1144.0,143.2,64,S,2B,3413
2017-08-11 15:04:08.661985024,79.47,25.02,2556.0,62.0,2080.0,73.2,1486.0,30.0,6,S,1B,3413
2017-12-16 12:57:07.079022080,79.47,25.02,2183.0,32.0,1785.0,32.1,1255.0,32.1,290,S,2A,3413
2020-07-06 00:08:42.079024128,79.47,25.02,1720.0,20.0,1380.0,17.9,1027.0,24.3,44,S,2A,3413
2018-05-08 13:07:37.079024128,79.47,25.02,1992.0,23.0,1592.0,22.7,1197.0,22.4,89,S,2A,3413
2018-07-11 11:56:51.079022080,79.47,25.02,2198.0,72.0,1798.0,71.6,1265.0,71.6,130,S,2B,3413
2016-12-18 12:47:04.079022080,79.47,25.02,2451.0,10.0,1993.0,9.8,1426.0,10.3,269,S,2A,3413
2017-06-21 00:36:58.579021824,79.47,25.02,2190.0,53.0,1804.0,52.0,1242.0,53.6,64,S,2A,3413
2021-05-26 12:48:36.079022080,79.47,25.02,1473.0,86.0,1105.0,86.8,975.0,84.6,20,S,2B,3413
2018-06-08 23:57:07.579022080,79.47,25.02,2133.0,15.0,1742.0,15.3,1230.0,13.8,154,S,2A,3413
2019-06-20 12:28:38.079024128,79.47,25.02,1909.0,69.0,1534.0,61.6,1136.0,81.8,50,S,2A,3413
2020-07-15 11:58:51.079022080,79.47,25.02,1979.0,26.0,1615.0,28.8,1145.0,20.0,50,S,2A,3413
2016-12-31 12:06:47.579023872,79.47,25.02,2416.0,36.0,1965.0,35.8,1405.0,35.8,260,S,2A,3413
2021-11-18 13:08:24.579024128,79.47,25.02,1553.0,12.0,1284.0,11.3,874.0,12.9,259,S,2B,3413
2019-11-03 00:38:43.579022080,79.47,25.02,1779.0,4.0,1456.0,4.4,1021.0,4.6,364,S,2B,3413
2020-11-02 00:38:35.579022080,79.47,25.02,1627.0,4.0,1333.0,4.5,932.0,3.6,395,S,2B,3413
2020-04-21 00:38:36.079022080,79.47,25.02,1731.0,168.0,1292.0,164.7,1152.0,171.4,5,S,2B,3413
2018-08-13 12:57:32.079024128,79.47,25.02,2566.0,41.0,2053.0,41.4,1540.0,40.3,30,S,2A,3413
2019-06-04 12:58:31.579024128,79.47,25.02,1863.0,46.0,1497.0,39.5,1108.0,55.3,60,S,2A,3413
2017-04-16 13:17:14.079022080,79.47,25.02,2157.0,117.0,1720.0,123.3,1302.0,106.5,10,S,2A,3413
2021-05-16 11:58:46.079022080,79.47,25.02,1469.0,38.0,1178.0,39.9,878.0,35.2,120,S,2A,3413
2018-11-11 12:07:46.079022080,79.47,25.02,2039.0,7.0,1675.0,7.0,1163.0,5.9,440,S,2A,3413
2021-01-07 00:58:28.579023872,79.47,25.02,1556.0,36.0,1262.0,36.5,911.0,36.5,254,S,2B,3413
2018-10-05 00:11:41.079024384,79.47,25.02,2089.0,5.0,1713.0,5.7,1196.0,4.0,365,S,2A,3413
2021-06-19 12:28:42.079022080,79.47,25.02,1455.0,186.0,1133.0,186.1,912.0,186.1,50,S,2A,3413
2017-05-14 12:37:00.079022080,79.47,25.02,2150.0,123.0,1706.0,119.6,1309.0,129.7,10,S,2A,3413
2021-07-27 23:58:41.079024128,79.47,25.02,1934.0,59.0,1620.0,60.3,1056.0,54.4,24,S,2A,3413
2017-07-14 00:46:59.079022080,79.47,25.02,2310.0,89.0,1888.0,88.6,1332.0,88.6,104,S,2A,3413
2021-01-16 11:58:41.579023616,79.47,25.02,1553.0,11.0,1262.0,11.1,904.0,9.5,259,S,2A,3413
2019-12-20 01:18:31.579021824,79.47,25.02,1725.0,6.0,1415.0,5.4,988.0,6.8,364,S,2A,3413
2017-05-11 13:17:16.079022336,79.47,25.02,2187.0,31.0,1751.0,30.8,1310.0,31.9,40,S,2A,3413
2016-08-19 13:17:16.079024128,79.47,25.02,2812.0,67.0,2245.0,68.6,1692.0,63.5,29,S,2A,3413
2020-09-30 12:38:29.079024128,79.47,25.02,1632.0,4.0,1338.0,4.3,934.0,3.8,330,S,2B,3413
2019-08-02 01:18:28.079024384,79.47,25.02,2382.0,84.0,1938.0,82.7,1384.0,86.8,14,S,2B,3413
2019-07-20 13:18:30.579023872,79.47,25.02,2255.0,111.0,1847.0,109.7,1294.0,114.3,9,S,2B,3413
2019-12-20 23:58:52.079022080,79.47,25.02,1726.0,4.0,1417.0,4.4,986.0,3.9,364,S,2B,3413
2019-06-26 11:58:52.579022336,79.47,25.02,1858.0,158.0,1463.0,180.3,1146.0,112.2,30,S,2B,3413
2021-07-27 01:18:30.579022080,79.47,25.02,1922.0,61.0,1594.0,61.4,1074.0,61.7,25,S,2B,3413
2019-07-20 13:18:36.579022080,79.47,25.02,2286.0,104.0,1864.0,103.1,1324.0,105.9,9,S,2B,3413
2018-06-13 23:57:07.079022080,79.47,25.02,2143.0,11.0,1749.0,11.4,1238.0,11.4,164,S,2A,3413
2019-07-14 00:48:36.579023872,79.47,25.02,2199.0,197.0,1797.0,191.2,1267.0,206.7,5,S,2A,3413
